city;year;avg_temp;Mecca;year;avg_temp;Globel
Mecca;1843;25.16;;1750;8.72;
Mecca;1844;19.05;;1751;7.98;
Mecca;1845;22.46;;1752;5.78;
Mecca;1846;25.6;;1753;8.39;
Mecca;1847;25.6;;1754;8.47;
Mecca;1848;25.6;;1755;8.36;
Mecca;1849;25.6;24.15285714;1756;8.85;8.078571429
Mecca;1850;25.6;24.21571429;1757;9.02;8.121428571
Mecca;1851;25.6;25.15142857;1758;6.74;7.944285714
Mecca;1852;25.6;25.6;1759;7.99;8.26
Mecca;1853;25.6;25.6;1760;7.19;8.088571429
Mecca;1854;25.6;25.6;1761;8.77;8.131428571
Mecca;1855;25.6;25.6;1762;8.61;8.167142857
Mecca;1856;25.6;25.6;1763;7.5;7.974285714
Mecca;1857;25.6;25.6;1764;8.4;7.885714286
Mecca;1858;25.6;25.6;1765;8.25;8.101428571
Mecca;1859;25.6;25.6;1766;8.41;8.161428571
Mecca;1860;25.6;25.6;1767;8.22;8.308571429
Mecca;1861;23.98;25.36857143;1768;6.78;8.024285714
Mecca;1862;24.13;25.15857143;1769;7.69;7.892857143
Mecca;1863;22.87;24.76857143;1770;7.69;7.92
Mecca;1864;25.43;24.74428571;1771;7.85;7.841428571
Mecca;1865;25.6;24.74428571;1772;8.19;7.832857143
Mecca;1866;25.42;24.71857143;1773;8.22;7.805714286
Mecca;1867;25.62;24.72142857;1774;8.77;7.884285714
Mecca;1868;25.3;24.91;1775;9.18;8.227142857
Mecca;1869;25.65;25.12714286;1776;8.3;8.314285714
Mecca;1870;25.35;25.48142857;1777;8.26;8.395714286
Mecca;1871;24.97;25.41571429;1778;8.54;8.494285714
Mecca;1872;25.2;25.35857143;1779;8.98;8.607142857
Mecca;1873;25.57;25.38;1780;9.43;8.78
Mecca;1874;25.32;25.33714286;1781;8.1;8.684285714
Mecca;1875;24.53;25.22714286;1782;7.9;8.501428571
Mecca;1876;25.13;25.15285714;1783;7.68;8.412857143
Mecca;1877;25.81;25.21857143;1784;7.86;8.355714286
Mecca;1878;25.94;25.35714286;1785;7.36;8.187142857
Mecca;1879;25.57;25.41;1786;8.26;8.084285714
Mecca;1880;25.42;25.38857143;1787;8.03;7.884285714
Mecca;1881;26.06;25.49428571;1788;8.45;7.934285714
Mecca;1882;25.09;25.57428571;1789;8.33;7.995714286
Mecca;1883;25.36;25.60714286;1790;7.98;8.038571429
Mecca;1884;25.03;25.49571429;1791;8.23;8.091428571
Mecca;1885;25.33;25.40857143;1792;8.09;8.195714286
Mecca;1886;25.13;25.34571429;1793;8.23;8.191428571
